Aimag,Year,Livestock Loss Rates from - 1998-2017
Bulgan,2000,0.07
Bulgan,2001,0.13
Bulgan,2002,0.03
Bulgan,2003,0.22
Bulgan,2004,0.01
Bulgan,2005,0.01
Bulgan,2006,0
Bulgan,2007,0.01
Bulgan,2008,0
Bulgan,2009,0.01
Bulgan,2010,0.09
Bulgan,2011,0.03
Bulgan,2012,0.01
Bulgan,2013,0.01
Bulgan,2014,0.01
Bulgan,2015,0.02
Bulgan,2016,0.02
Bulgan,2017,0.02
Darkhan‐Uul,1998,0.02
Darkhan‐Uul,1999,0.02
Darkhan‐Uul,2000,0.03
Darkhan‐Uul,2001,0.09
Darkhan‐Uul,2002,0.01
Darkhan‐Uul,2003,0.08
Darkhan‐Uul,2004,0.01
Darkhan‐Uul,2005,0
Darkhan‐Uul,2006,0
Darkhan‐Uul,2007,0
Darkhan‐Uul,2008,0
Darkhan‐Uul,2009,0.01
Darkhan‐Uul,2010,0.13
Darkhan‐Uul,2011,0.01
Darkhan‐Uul,2012,0.01
Darkhan‐Uul,2013,0.01
Darkhan‐Uul,2014,0.01
Darkhan‐Uul,2015,0.01
Darkhan‐Uul,2016,0.01
Darkhan‐Uul,2017,0.06
Dornod,1998,0.01
Dornod,1999,0.01
Dornod,2000,0.02
Dornod,2001,0.09
Dornod,2002,0.02
Dornod,2003,0.04
Dornod,2004,0.01
Dornod,2005,0.01
Dornod,2006,0.01
Dornod,2007,0
Dornod,2008,0.01
Dornod,2009,0.09
Dornod,2010,0.22
Dornod,2011,0
Dornod,2012,0.01
Dornod,2013,0.04
Dornod,2014,0.01
Dornod,2015,0.01
Dornod,2016,0.01
Dornod,2017,0.01
Dornogovi,1998,0.02
Dornogovi,1999,0.01
Dornogovi,2000,0.07
Dornogovi,2001,0.2
Dornogovi,2002,0.05
Dornogovi,2003,0.02
Dornogovi,2004,0.01
Dornogovi,2005,0.03
Dornogovi,2006,0.14
Dornogovi,2007,0.01
Dornogovi,2008,0.02
Dornogovi,2009,0
Dornogovi,2010,0.05
Dornogovi,2011,0
Dornogovi,2012,0.01
Dornogovi,2013,0.01
Dornogovi,2014,0
Dornogovi,2015,0.01
Dornogovi,2016,0.07
Dornogovi,2017,0
Dundgovi,1998,0.01
Dundgovi,1999,0.02
Dundgovi,2000,0.35
Dundgovi,2001,0.05
Dundgovi,2002,0.02
Dundgovi,2003,0.02
Dundgovi,2004,0
Dundgovi,2005,0.01
Dundgovi,2006,0.03
Dundgovi,2007,0
Dundgovi,2008,0.03
Dundgovi,2009,0.02
Dundgovi,2010,0.41
Dundgovi,2011,0
Dundgovi,2012,0
Dundgovi,2013,0
Dundgovi,2014,0
Dundgovi,2015,0
Dundgovi,2016,0.03
Dundgovi,2017,0
Govi‐Altai,1998,0.05
Govi‐Altai,1999,0.03
Govi‐Altai,2000,0.04
Govi‐Altai,2001,0.07
Govi‐Altai,2002,0.4
Govi‐Altai,2003,0.01
Govi‐Altai,2004,0
Govi‐Altai,2005,0.01
Govi‐Altai,2006,0
Govi‐Altai,2007,0.01
Govi‐Altai,2008,0.03
Govi‐Altai,2009,0.05
Govi‐Altai,2010,0.34
Govi‐Altai,2011,0.04
Govi‐Altai,2012,0.02
Govi‐Altai,2013,0.02
Govi‐Altai,2014,0.02
Govi‐Altai,2015,0.01
Govi‐Altai,2016,0.01
Govi‐Altai,2017,0
Govisumber,1998,0.01
Govisumber,1999,0.03
Govisumber,2000,0.09
Govisumber,2001,0.44
Govisumber,2002,0.01
Govisumber,2003,0
Govisumber,2004,0
Govisumber,2005,0
Govisumber,2006,0.01
Govisumber,2007,0
Govisumber,2008,0.04
Govisumber,2009,0.04
Govisumber,2010,0.09
Govisumber,2011,0
Govisumber,2012,0
Govisumber,2013,0.01
Govisumber,2014,0.01
Govisumber,2015,0.01
Govisumber,2016,0.04
Govisumber,2017,0.01
Khentii,1998,0.01
Khentii,1999,0.03
Khentii,2000,0.03
Khentii,2001,0.13
Khentii,2002,0.03
Khentii,2003,0.05
Khentii,2004,0.01
Khentii,2005,0.02
Khentii,2006,0.03
Khentii,2007,0.01
Khentii,2008,0.11
Khentii,2009,0.05
Khentii,2010,0.11
Khentii,2011,0.01
Khentii,2012,0.02
Khentii,2013,0.01
Khentii,2014,0.01
Khentii,2015,0.01
Khentii,2016,0.01
Khentii,2017,0.02
Khovd,1998,0.05
Khovd,1999,0.02
Khovd,2000,0.03
Khovd,2001,0.1
Khovd,2002,0.18
Khovd,2003,0.02
Khovd,2004,0
Khovd,2005,0.01
Khovd,2006,0
Khovd,2007,0
Khovd,2008,0.03
Khovd,2009,0.03
Khovd,2010,0.2
Khovd,2011,0.03
Khovd,2012,0.01
Khovd,2013,0.01
Khovd,2014,0.01
Khovd,2015,0.01
Khovd,2016,0.02
Khovd,2017,0.01
Khuvsgul,1998,0.02
Khuvsgul,1999,0.02
Khuvsgul,2000,0.06
Khuvsgul,2001,0.26
Khuvsgul,2002,0.02
Khuvsgul,2003,0.04
Khuvsgul,2004,0.01
Khuvsgul,2005,0.02
Khuvsgul,2006,0.01
Khuvsgul,2007,0.01
Khuvsgul,2008,0.01
Khuvsgul,2009,0.04
Khuvsgul,2010,0.18
Khuvsgul,2011,0.01
Khuvsgul,2012,0.01
Khuvsgul,2013,0.03
Khuvsgul,2014,0.01
Khuvsgul,2015,0.01
Khuvsgul,2016,0.01
Khuvsgul,2017,0.04
Orkhon,1998,0.02
Orkhon,1999,0.01
Orkhon,2000,0.02
Orkhon,2001,0.1
Orkhon,2002,0.03
Orkhon,2003,0.14
Orkhon,2004,0.02
Orkhon,2005,0.01
Orkhon,2006,0.01
Orkhon,2007,0
Orkhon,2008,0
Orkhon,2009,0.01
Orkhon,2010,0.12
Orkhon,2011,0
Orkhon,2012,0.01
Orkhon,2013,0.01
Orkhon,2014,0
Orkhon,2015,0.01
Orkhon,2016,0
Orkhon,2017,0.04
Selenge,1998,0.02
Selenge,1999,0.02
Selenge,2000,0.03
Selenge,2001,0.08
Selenge,2002,0.01
Selenge,2003,0.11
Selenge,2004,0.01
Selenge,2005,0.01
Selenge,2006,0
Selenge,2007,0
Selenge,2008,0
Selenge,2009,0.01
Selenge,2010,0.07
Selenge,2011,0.01
Selenge,2012,0.01
Selenge,2013,0
Selenge,2014,0
Selenge,2015,0.01
Selenge,2016,0
Selenge,2017,0.04
Sukhbaatar,1998,0.03
Sukhbaatar,1999,0.01
Sukhbaatar,2000,0.03
Sukhbaatar,2001,0.16
Sukhbaatar,2002,0.01
Sukhbaatar,2003,0.02
Sukhbaatar,2004,0.04
Sukhbaatar,2005,0.06
Sukhbaatar,2006,0.02
Sukhbaatar,2007,0.02
Sukhbaatar,2008,0.23
Sukhbaatar,2009,0.01
Sukhbaatar,2010,0.03
Sukhbaatar,2011,0.02
Sukhbaatar,2012,0.01
Sukhbaatar,2013,0.01
Sukhbaatar,2014,0
Sukhbaatar,2015,0.01
Sukhbaatar,2016,0.06
Sukhbaatar,2017,0
Tuv,1998,0.01
Tuv,1999,0.05
Tuv,2000,0.09
Tuv,2001,0.22
Tuv,2002,0.03
Tuv,2003,0.13
Tuv,2004,0.02
Tuv,2005,0.01
Tuv,2006,0.01
Tuv,2007,0.01
Tuv,2008,0.04
Tuv,2009,0.01
Tuv,2010,0.16
Tuv,2011,0.01
Tuv,2012,0.01
Tuv,2013,0.01
Tuv,2014,0.01
Tuv,2015,0.01
Tuv,2016,0.03
Tuv,2017,0.02
Ulaanbaatar,1998,0.02
Ulaanbaatar,1999,0.1
Ulaanbaatar,2000,0.03
Ulaanbaatar,2001,0.1
Ulaanbaatar,2002,0.02
Ulaanbaatar,2003,0.03
Ulaanbaatar,2004,0.01
Ulaanbaatar,2005,0.01
Ulaanbaatar,2006,0.01
Ulaanbaatar,2007,0
Ulaanbaatar,2008,0.01
Ulaanbaatar,2009,0.01
Ulaanbaatar,2010,0.18
Ulaanbaatar,2011,0.01
Ulaanbaatar,2012,0.01
Ulaanbaatar,2013,0.01
Ulaanbaatar,2014,0.01
Ulaanbaatar,2015,0.01
Ulaanbaatar,2016,0.02
Ulaanbaatar,2017,0.02
Umnugovi,1998,0.02
Umnugovi,1999,0.03
Umnugovi,2000,0.09
Umnugovi,2001,0.13
Umnugovi,2002,0.19
Umnugovi,2003,0.1
Umnugovi,2004,0.01
Umnugovi,2005,0.03
Umnugovi,2006,0.04
Umnugovi,2007,0.01
Umnugovi,2008,0.01
Umnugovi,2009,0.02
Umnugovi,2010,0.35
Umnugovi,2011,0.01
Umnugovi,2012,0.01
Umnugovi,2013,0.01
Umnugovi,2014,0.01
Umnugovi,2015,0.01
Umnugovi,2016,0
Umnugovi,2017,0
Uvs,1998,0.02
Uvs,1999,0.02
Uvs,2000,0.15
Uvs,2001,0.07
Uvs,2002,0.14
Uvs,2003,0.02
Uvs,2004,0.01
Uvs,2005,0.06
Uvs,2006,0.02
Uvs,2007,0.02
Uvs,2008,0.08
Uvs,2009,0.11
Uvs,2010,0.29
Uvs,2011,0.02
Uvs,2012,0.03
Uvs,2013,0.02
Uvs,2014,0.01
Uvs,2015,0.01
Uvs,2016,0.07
Uvs,2017,0.01
Uvurkhangai,1998,0.01
Uvurkhangai,1999,0.01
Uvurkhangai,2000,0.21
Uvurkhangai,2001,0.14
Uvurkhangai,2002,0.12
Uvurkhangai,2003,0.03
Uvurkhangai,2004,0
Uvurkhangai,2005,0.02
Uvurkhangai,2006,0.01
Uvurkhangai,2007,0
Uvurkhangai,2008,0.04
Uvurkhangai,2009,0.03
Uvurkhangai,2010,0.46
Uvurkhangai,2011,0.01
Uvurkhangai,2012,0
Uvurkhangai,2013,0.01
Uvurkhangai,2014,0
Uvurkhangai,2015,0.02
Uvurkhangai,2016,0.01
Uvurkhangai,2017,0.01
Zavkhan,1998,0.02
Zavkhan,1999,0.04
Zavkhan,2000,0.18
Zavkhan,2001,0.3
Zavkhan,2002,0.06
Zavkhan,2003,0.05
Zavkhan,2004,0.01
Zavkhan,2005,0.04
Zavkhan,2006,0.01
Zavkhan,2007,0.01
Zavkhan,2008,0.02
Zavkhan,2009,0.07
Zavkhan,2010,0.36
Zavkhan,2011,0.02
Zavkhan,2012,0.01
Zavkhan,2013,0.03
Zavkhan,2014,0.01
Zavkhan,2015,0.01
Zavkhan,2016,0.04
Zavkhan,2017,0.01
